source,target
16076032,1.58748E+18
16076032,1.58797E+18
16076032,1.45478E+18
16076032,1.6395E+18
16076032,1.11426E+18
16076032,1.62757E+18
16076032,9.64455E+17
16076032,1.35914E+18
16076032,1.63976E+18
16076032,1.60714E+18
16076032,1.48789E+18
16076032,1.5868E+18
16076032,1.58823E+18
16076032,2278187948
16076032,207177380
16076032,1.41176E+18
16076032,1.50006E+18
16076032,1.54179E+18
16076032,1.45499E+18
16076032,69156861
16076032,1.60032E+18
16076032,881423090
16076032,1.63825E+18
16076032,1.63975E+18
16076032,7.13733E+17
16076032,1.51938E+18
16076032,1.63974E+18
16076032,1.63005E+18
16076032,1.57303E+18
16076032,1.58609E+18
16076032,1.36249E+18
16076032,1.63462E+18
16076032,1.63974E+18
16076032,191109609
16076032,517933057
16076032,1.63975E+18
16076032,242471370
16076032,1.29037E+18
16076032,1.00502E+18
16076032,1.63418E+18
16076032,1.6397E+18
16076032,1.27972E+18
16076032,1.63575E+18
16076032,431071870
16076032,1.28463E+18
16076032,1.63973E+18
16076032,303051683
16076032,1.63974E+18
16076032,1.63974E+18
16076032,1.58611E+18
16076032,1.6349E+18
16076032,1.63973E+18
16076032,1.12655E+18
16076032,1.63941E+18
16076032,1.63972E+18
16076032,1.63947E+18
16076032,8.82578E+17
16076032,1.36787E+18
16076032,472800242
16076032,1.59417E+18
16076032,1.59437E+18
16076032,3074137813
16076032,427968099
16076032,1.63973E+18
16076032,8.2114E+17
16076032,1.59911E+18
16076032,2762535022
16076032,40091445
16076032,1.626E+18
16076032,34717224
16076032,1.63853E+18
16076032,2522916284
16076032,2592880979
16076032,44021939
16076032,1.32952E+18
16076032,1.59414E+18
16076032,1.63972E+18
16076032,1.63972E+18
16076032,1.58037E+18
16076032,1.63972E+18
16076032,1.51939E+18
16076032,8.44521E+17
16076032,121543397
16076032,9.00067E+17
16076032,1.63053E+18
16076032,103149084
16076032,1.27331E+18
16076032,1.53159E+18
16076032,519678587
16076032,1.63946E+18
16076032,1616583266
16076032,1.03546E+18
16076032,1.63971E+18
16076032,1.3453E+18
16076032,2842214957
16076032,1.48102E+18
16076032,1.63971E+18
16076032,1.63429E+18
16076032,2171626600
16076032,1.55383E+18
16076032,1.6085E+18
16076032,1.50527E+18
16076032,483055406
16076032,1.59359E+18
16076032,1.63727E+18
16076032,237098160
16076032,1.448E+18
16076032,1.51904E+18
16076032,1.25591E+18
16076032,1.58247E+18
16076032,1.58896E+18
16076032,1.51354E+18
16076032,1.63874E+18
16076032,1359897180
16076032,417555923
16076032,1.63969E+18
16076032,1.3843E+18
16076032,1.44767E+18
16076032,1.48034E+18
16076032,1.6397E+18
16076032,3346060175
16076032,1.63578E+18
16076032,1250442361
16076032,1.62599E+18
16076032,1.12038E+18
16076032,2296887793
16076032,1.06745E+18
16076032,1.63562E+18
16076032,1.5763E+18
16076032,2588147178
16076032,1.57641E+18
16076032,1.60789E+18
16076032,1.52176E+18
16076032,169882250
16076032,1.50353E+18
16076032,55411770
16076032,3898018906
16076032,286466259
16076032,1.62893E+18
16076032,1447452948
16076032,1.63582E+18
16076032,1.63968E+18
16076032,8.45857E+17
16076032,4676277354
16076032,1.38994E+18
16076032,1.63967E+18
16076032,1.63968E+18
16076032,8.03984E+17
16076032,1622994194
16076032,1.48781E+18
16076032,1.63968E+18
16076032,1.46682E+18
16076032,1.5462E+18
16076032,1.02833E+18
16076032,1.63968E+18
16076032,1.58824E+18
16076032,1.63967E+18
16076032,67701638
16076032,226344416
16076032,1.63963E+18
16076032,1.59417E+18
16076032,1.47354E+18
16076032,1.63599E+18
16076032,1.63951E+18
16076032,1.63968E+18
16076032,1.51006E+18
16076032,1.58978E+18
16076032,9.88784E+17
16076032,1.42437E+18
16076032,1.63762E+18
16076032,2808763726
16076032,223306277
16076032,23720931
16076032,1.31467E+18
16076032,1.6393E+18
16076032,1.63468E+18
16076032,1.55756E+18
16076032,1.63967E+18
16076032,1.63967E+18
16076032,1.63967E+18
16076032,1.63751E+18
16076032,1.63967E+18
16076032,4850706767
16076032,1.50613E+18
16076032,1.63966E+18
16076032,1.17825E+18
16076032,17368357
16076032,1.63605E+18
16076032,1.6395E+18
16076032,1.59433E+18
16076032,1.5874E+18
16076032,2949375093
16076032,1.03131E+18
16076032,242886037
16076032,1.63747E+18
16076032,1.27076E+18
16076032,1.11249E+18
16076032,1.51248E+18
16076032,1.34092E+18
16076032,1.47855E+18
16076032,1.59796E+18
16076032,1.34665E+18
16076032,1.63965E+18
16076032,1.63959E+18
16076032,1.63965E+18
16076032,57093756
16076032,1.11857E+18
16076032,1.43756E+18
16076032,1.31134E+18
16076032,8.4669E+17
16076032,1.6393E+18
16076032,1.44499E+18
16076032,1.54259E+18
16076032,1.23906E+18
16076032,1.27092E+18
16076032,135313
16076032,1.58712E+18
16076032,1.63964E+18
16076032,1.63964E+18
16076032,1.59044E+18
16076032,68669086
16076032,1.62657E+18
16076032,1.54101E+18
16076032,1.63958E+18
16076032,90488190
16076032,1.63961E+18
16076032,1.46074E+18
16076032,2291911039
16076032,1.51896E+18
16076032,1.01264E+18
16076032,1.46551E+18
16076032,1.58872E+18
16076032,79402107
16076032,1.63963E+18
16076032,1.32884E+18
16076032,1.59509E+18
16076032,12267122
16076032,7.2766E+17
16076032,1.47941E+18
16076032,1.3542E+18
16076032,1.63752E+18
16076032,1.41911E+18
16076032,1.58816E+18
16076032,8.25589E+17
16076032,150294303
16076032,1.602E+18
16076032,4853312578
16076032,99033751
16076032,1.61257E+18
16076032,1.57137E+18
16076032,1.63108E+18
16076032,1.63961E+18
16076032,1.63169E+18
16076032,1.62888E+18
16076032,1.47654E+18
16076032,1.59668E+18
16076032,1.51932E+18
16076032,7.88745E+17
16076032,1.51703E+18
16076032,1.48632E+18
